timestamp,event,key,flight_time
<<<<<<< HEAD
1771312859.8075156,RELEASE,'h',0
1771312859.9196818,PRESS,'i',0.22392702102661133
1771312860.0480106,RELEASE,'i',0
1771312860.1436098,PRESS,'i',0.22392797470092773
1771312860.3038642,RELEASE,'i',0
1771312865.0879653,PRESS,'h',4.944355487823486
1771312865.2003503,RELEASE,'h',0
1771312865.4878495,PRESS,'i',0.3998842239379883
1771312865.6322925,RELEASE,'i',0
1771312865.727929,PRESS,'i',0.24007964134216309
1771312865.8247705,RELEASE,'i',0
1771312865.9207327,PRESS,'i',0.19280362129211426
1771312865.9367208,PRESS,'h',0.01598811149597168
1771312865.9846523,RELEASE,'i',0
1771312866.0014527,RELEASE,'h',0
1771312866.1124933,PRESS,'i',0.17577242851257324
1771312866.114061,PRESS,'o',0.001567840576171875
1771312866.1608622,PRESS,'g',0.046801090240478516
1771312866.1769946,RELEASE,'g',0
1771312866.2405396,RELEASE,'o',0
1771312866.2563589,RELEASE,'i',0
1771312866.2724469,PRESS,'j',0.11158466339111328
1771312866.3836563,RELEASE,'j',0
1771312866.3860815,PRESS,'k',0.11363458633422852
1771312866.4807231,RELEASE,'k',0
1771312866.5281112,PRESS,'j',0.1420297622680664
1771312866.6089246,RELEASE,'j',0
1771312866.6415672,PRESS,'i',0.11345601081848145
1771312866.6446462,PRESS,'o',0.003078937530517578
1771312866.705138,RELEASE,'i',0
1771312866.7368271,RELEASE,'o',0
1771312866.78517,PRESS,'j',0.14052391052246094
1771312866.8011436,RELEASE,'j',0
1771312866.8488603,PRESS,'i',0.063690185546875
1771312866.897251,RELEASE,'i',0
1771312866.9765947,PRESS,'j',0.12773442268371582
1771312867.07163,RELEASE,'j',0
1771312867.23202,PRESS,'j',0.25542521476745605
1771312867.2485132,RELEASE,'j',0
1771312867.3928058,PRESS,'j',0.16078591346740723
1771312867.3962169,PRESS,'h',0.0034110546112060547
1771312867.4725351,RELEASE,'j',0
1771312867.4756289,RELEASE,'h',0
1771312867.583908,PRESS,'h',0.18769121170043945
1771312867.6642551,RELEASE,'h',0
1771312867.7922196,PRESS,'h',0.2083115577697754
1771312867.872448,RELEASE,'h',0
1771312867.9839246,PRESS,'h',0.19170498847961426
1771312868.079899,RELEASE,'h',0
1771312871.520783,PRESS,'l',3.536858320236206
1771312871.5526395,PRESS,'k',0.031856536865234375
1771312871.5846713,PRESS,'j',0.03203177452087402
1771312871.616184,RELEASE,'k',0
1771312871.6198668,RELEASE,'l',0
1771312871.679778,RELEASE,'j',0
1771312871.7126708,PRESS,'s',0.12799954414367676
1771312871.7159178,PRESS,'f',0.0032470226287841797
1771312871.7178986,PRESS,'d',0.0019807815551757812
1771312871.775685,RELEASE,'f',0
1771312871.7781546,PRESS,'o',0.060256004333496094
1771312871.8250463,RELEASE,'d',0
1771312871.8405948,RELEASE,'o',0
1771312871.8417711,PRESS,'j',0.06361651420593262
1771312871.8730829,RELEASE,'s',0
1771312871.984221,RELEASE,'j',0
1771312872.1607144,PRESS,'j',0.3189432621002197
1771312872.223789,RELEASE,'j',0
1771312872.2886062,PRESS,'o',0.12789177894592285
1771312872.3037074,PRESS,'k',0.015101194381713867
1771312872.3210397,RELEASE,'o',0
1771312872.3686423,RELEASE,'k',0
1771312872.4479477,PRESS,'s',0.1442403793334961
1771312872.4511783,PRESS,'f',0.003230571746826172
1771312872.4532228,PRESS,'j',0.0020444393157958984
1771312872.4541461,PRESS,'d',0.0009233951568603516
1771312872.4641087,PRESS,'g',0.00996255874633789
1771312872.5446103,RELEASE,'j',0
1771312872.548171,RELEASE,'d',0
1771312872.5596654,RELEASE,'f',0
1771312872.6398482,RELEASE,'s',0
1771312872.6403556,RELEASE,'g',0
1771312872.6412146,PRESS,'o',0.17710590362548828
1771312872.7041693,PRESS,'j',0.06295466423034668
1771312872.7361717,RELEASE,'o',0
1771312872.7996974,RELEASE,'j',0
1771312872.960524,PRESS,'0',0.25635480880737305
1771312872.976608,PRESS,'i',0.016083955764770508
1771312872.992459,RELEASE,'0',0
1771312873.040684,RELEASE,'i',0
1771312873.151995,PRESS,'s',0.17538690567016602
1771312873.1560383,PRESS,'r',0.0040433406829833984
1771312873.1577663,PRESS,'g',0.001728057861328125
1771312873.1591215,PRESS,'t',0.0013551712036132812
1771312873.2162812,RELEASE,'g',0
1771312873.2642376,RELEASE,'s',0
1771312873.2656682,RELEASE,'r',0
1771312873.2664871,RELEASE,'t',0
1771312873.6966443,PRESS,Key.esc,0.5375227928161621
1771312873.7916527,RELEASE,Key.esc,0
=======
1771319102.7903833,PRESS,'z',0.04838418960571289
1771319102.7924407,PRESS,'b',0.002057313919067383
1771319102.8241773,RELEASE,'z',0
1771319102.8440063,RELEASE,'b',0
1771319102.847901,RELEASE,'s',0
1771319102.888433,PRESS,'j',0.0959923267364502
1771319102.959793,RELEASE,'j',0
1771319102.9642596,PRESS,'s',0.07582664489746094
1771319102.9668531,PRESS,'h',0.002593517303466797
1771319102.990706,RELEASE,'h',0
1771319103.008128,PRESS,'f',0.0412747859954834
1771319103.0333698,RELEASE,'s',0
1771319103.0858672,RELEASE,'f',0
1771319103.1020615,PRESS,'j',0.0939335823059082
1771319103.1164012,PRESS,'h',0.014339685440063477
1771319103.1442623,PRESS,'q',0.02786111831665039
1771319103.190737,RELEASE,'h',0
1771319103.1960728,RELEASE,'j',0
1771319103.204494,PRESS,'f',0.060231685638427734
1771319103.2245986,RELEASE,'f',0
1771319103.2419932,RELEASE,'q',0
1771319103.4836862,PRESS,'h',0.2791922092437744
1771319103.5027559,PRESS,'j',0.019069671630859375
1771319103.522869,RELEASE,'j',0
1771319103.5456133,RELEASE,'h',0
1771319103.6153653,PRESS,'x',0.1126093864440918
1771319103.6342006,PRESS,'q',0.01883530616760254
1771319103.6567712,PRESS,'a',0.02257061004638672
1771319103.7622113,RELEASE,'a',0
1771319103.7660532,RELEASE,'q',0
1771319103.772668,RELEASE,'x',0
1771319103.8199403,PRESS,'f',0.16316914558410645
1771319103.9710767,RELEASE,'f',0
1771319104.4337554,PRESS,Key.enter,0.6138150691986084
1771319104.5235045,RELEASE,Key.enter,0
1771319152.9565318,PRESS,'e',48.52277636528015
1771319152.9881341,PRESS,'r',0.03160238265991211
1771319153.022717,RELEASE,'r',0
1771319153.0386395,RELEASE,'e',0
1771319154.2245953,PRESS,Key.backspace,1.2364611625671387
1771319154.266335,RELEASE,Key.backspace,0
1771319154.323145,PRESS,Key.backspace,0.09854960441589355
1771319154.4271066,RELEASE,Key.backspace,0
1771319165.1501863,PRESS,'t',10.827041387557983
1771319165.247971,RELEASE,'t',0
1771319165.310561,PRESS,'h',0.16037464141845703
1771319165.4562337,PRESS,'e',0.14567279815673828
1771319165.5030882,RELEASE,'h',0
1771319165.5619462,RELEASE,'e',0
1771319165.5937192,PRESS,'r',0.13748550415039062
